Fondo,,Nucleo,,Halo,,Cola,,Tiempo,
K-Means,FCM,K-Means,FCM,K-Means,FCM,K-Means,FCM,K-Means,FCM
10668,10244,2951,2938,2033,2134,4487,4823,0.253913367,0.51843439
14363,14154,3299,3216,1957,2009,4867,5107,0.118275083,0.200323587
11848,11603,3208,3165,2184,2273,4800,4999,0.124072813,0.156714988
61838,58886,1743,1639,4773,4936,19162,22055,0.426614627,2.227608357
13509,13199,5237,5161,3007,3129,4168,4432,0.084636326,0.723129041
14016,12900,746,737,1971,2218,6667,7545,0.151553973,0.372438236
11662,11307,4899,4896,2739,2860,4412,4649,0.049561394,0.338619546
11564,11195,5774,5719,2596,2706,3572,3886,0.087950464,0.256342102
38849,34148,3720,4862,12484,15531,33585,34097,0.586698977,2.644126603
11216,10838,5549,5545,3210,3334,3515,3773,0.078939169,0.368647567
2635,2596,570,626,999,956,1871,1897,1.142725902,0.063925341
10752,10383,6313,6299,2679,2780,3963,4245,0.093653108,0.444996354
15797,15280,6641,6621,2854,2978,4048,4461,0.102760953,0.437470971
25674,24041,5147,5228,3574,3842,7020,8304,0.250513285,1.130122157
9272,8827,5089,5086,3377,3555,4454,4724,0.129243336,0.349610474
18361,17619,6015,5995,3579,3804,5173,5710,0.134083251,0.940941637
29552,28347,7782,7645,5192,5418,13761,14877,0.233353423,1.130472149
60581,55664,4699,4728,6775,7557,21611,25717,0.679565424,2.807466941
71110,62546,3581,3738,6010,7297,25143,32263,0.668905837,3.926908299
68720,64658,1466,1483,5983,6663,18541,21906,0.69597849,2.913542763
