Background,,Nucleo,,Halo,,Cola,,Tiempo,
K-Means,FCM,K-Means,FCM,K-Means,FCM,K-Means,FCM,K-Means,FCM
10668,10247,2951,2937,2033,2132,4487,4823,0.221166963,0.411922997
14363,14157,3299,3212,1957,2011,4867,5106,0.118712116,0.251924226
11860,11597,3197,3169,2175,2269,4808,5005,0.061716403,0.517776463
61838,58886,1743,1639,4773,4936,19162,22055,0.366748758,1.700478286
13509,13199,5237,5161,3007,3129,4168,4432,0.108451893,0.411128657
14016,12900,746,737,1971,2218,6667,7545,0.128938327,0.401385926
11662,11307,4899,4896,2739,2860,4412,4649,0.100154845,0.31197332
11564,11189,5774,5721,2596,2707,3572,3889,0.101475088,0.489145119
38849,34149,3720,4862,12484,15530,33585,34097,0.517964076,2.564492935
11203,10835,5551,5545,3215,3337,3521,3773,0.062767111,0.18220335
2214,2596,1230,626,1265,956,1366,1897,0.028452507,0.139108584
10752,10383,6313,6299,2679,2780,3963,4245,0.09519461,0.468627964
15797,15283,6641,6619,2854,2980,4048,4458,0.129827023,0.539779165
25674,24041,5147,5228,3574,3842,7020,8304,0.160229539,1.122429276
9272,8822,5089,5089,3377,3552,4454,4729,0.138071407,0.488046136
18361,17610,6015,5995,3579,3806,5173,5717,0.157455567,0.756652231
29552,28354,7782,7644,5192,5416,13761,14873,0.199231553,1.228183266
60581,55665,4699,4728,6775,7556,21611,25717,0.465146693,2.813043046
71110,62547,3581,3738,6010,7297,25143,32262,0.617008601,4.170028958
68720,64658,1466,1483,5983,6663,18541,21906,0.523286007,3.185525168
